timestamp,vehicle_id,latitude,longitude,speed_kmph,battery_percent
2025-06-02 08:21:51,1,14.599986,120.984765,44.97,99.92
2025-06-02 08:21:52,2,14.600463,120.985423,37.66,99.85
2025-06-02 08:21:53,3,14.601017,120.985876,35.31,99.81
2025-06-02 08:21:54,4,14.601326,120.986204,42.42,99.77
2025-06-02 08:21:55,5,14.601857,120.986613,29.87,99.75
2025-06-02 08:21:56,6,14.602335,120.98712,54.66,99.73
2025-06-02 08:21:57,7,14.602846,120.987505,34.56,99.67
2025-06-02 08:21:58,8,14.603316,120.987945,33.99,99.59
2025-06-02 08:21:59,9,14.603711,120.988527,39.87,99.56
2025-06-02 08:22:00,10,14.604015,120.988894,42.09,99.51
2025-06-02 08:22:01,11,14.604532,120.989382,47.38,99.46
2025-06-02 08:22:02,12,14.60496,120.989836,25.21,99.39
2025-06-02 08:22:03,13,14.605284,120.990369,43.44,99.35
2025-06-02 08:22:05,14,14.605845,120.990972,33.23,99.28
2025-06-02 08:22:06,15,14.606314,120.991505,31.61,99.21
2025-06-02 08:22:07,16,14.606795,120.991894,35.21,99.19
2025-06-02 08:22:08,17,14.607431,120.992387,48.13,99.12
2025-06-02 08:22:09,18,14.607866,120.992923,43.62,99.03
2025-06-02 08:22:10,19,14.608523,120.993161,39.64,98.97
2025-06-02 08:22:11,20,14.608993,120.99367,40.87,98.96
2025-06-02 08:22:12,21,14.609529,120.994318,37.8,98.92
2025-06-02 08:22:13,22,14.609978,120.99491,31.92,98.86
2025-06-02 08:22:14,23,14.61053,120.99542,34.7,98.79
2025-06-02 08:22:15,24,14.610997,120.99588,32.98,98.77
2025-06-02 08:22:16,25,14.611523,120.996381,42.96,98.73
2025-06-02 08:22:17,26,14.611981,120.996847,25.85,98.69
2025-06-02 08:22:18,27,14.612521,120.997535,38.39,98.64
2025-06-02 08:22:19,28,14.613014,120.997843,42.58,98.59
2025-06-02 08:22:21,29,14.61376,120.998324,40.6,98.53
2025-06-02 08:22:22,30,14.614143,120.998938,39.65,98.47
2025-06-02 08:22:23,31,14.614553,120.999579,47.91,98.45
2025-06-02 08:22:24,32,14.615272,120.99998,45.87,98.41
2025-06-02 08:22:25,33,14.615721,121.000324,41.0,98.36
2025-06-02 08:22:26,34,14.616269,121.000733,29.38,98.28
2025-06-02 08:22:27,35,14.616736,121.001314,32.17,98.25
2025-06-02 08:22:28,36,14.617367,121.001653,42.27,98.2
2025-06-02 08:22:29,37,14.617945,121.002029,42.6,98.17
2025-06-02 08:22:30,38,14.618475,121.002555,45.22,98.12
2025-06-02 08:22:31,39,14.618998,121.003084,33.2,98.08
2025-06-02 08:22:32,40,14.619546,121.003465,58.66,98.02
2025-06-02 08:22:33,41,14.620124,121.004081,30.25,97.98
2025-06-02 08:22:34,42,14.620666,121.004663,49.63,97.9
2025-06-02 08:22:35,43,14.62109,121.005074,37.55,97.86
2025-06-02 08:22:36,44,14.621624,121.005601,39.23,97.8
2025-06-02 08:22:38,45,14.62227,121.006075,40.13,97.69
2025-06-02 08:22:39,46,14.622684,121.006468,46.26,97.63
2025-06-02 08:22:40,47,14.623255,121.007015,37.77,97.58
2025-06-02 08:22:41,48,14.623604,121.007471,31.53,97.52
2025-06-02 08:22:42,49,14.623979,121.007988,42.14,97.46
2025-06-02 08:22:43,50,14.624495,121.008494,31.16,97.43
2025-06-02 08:22:44,51,14.625051,121.009102,43.58,97.36
2025-06-02 08:22:45,52,14.625457,121.009654,26.22,97.3
2025-06-02 08:22:46,53,14.626342,121.010211,45.15,97.23
2025-06-02 08:22:47,54,14.626907,121.010679,49.54,97.16
2025-06-02 08:22:48,55,14.627384,121.011131,32.27,97.11
2025-06-02 08:22:49,56,14.627697,121.011699,63.15,97.09
2025-06-02 08:22:50,57,14.628306,121.012206,35.28,97.06
2025-06-02 08:22:51,58,14.628874,121.012633,32.85,97.01
2025-06-02 08:22:52,59,14.629309,121.013347,40.46,96.95
2025-06-02 08:22:53,60,14.629827,121.013781,19.75,96.88
2025-06-02 08:22:54,61,14.630316,121.014331,32.07,96.81
2025-06-02 08:22:56,62,14.630782,121.014784,28.0,96.78
2025-06-02 08:22:57,63,14.631323,121.015158,57.65,96.71
2025-06-02 08:22:58,64,14.631926,121.015506,61.22,96.67
2025-06-02 08:22:59,65,14.632355,121.01605,52.67,96.6
2025-06-02 08:23:00,66,14.632849,121.016226,30.73,96.57
2025-06-02 08:23:01,67,14.633225,121.016889,37.47,96.55
2025-06-02 08:23:02,68,14.633738,121.017533,35.6,96.53
